network_id,mid_length_m,mid_speed_mps,fast_length_m,slow_length_m,slow_speed_mps,demand,free_flow_mid_time_s,length_ratio,baseline_tt,no_middle_tt,delta,is_braess_road
1,32,16.9,377,514,7.45,685,1.893,0.733,159641.0,90303.0,69338.0,1
2,64,15.09,102,958,5.32,591,4.241,0.106,24300.0,166116.0,-141816.0,0
3,278,15.22,161,638,10.61,1516,18.265,0.252,115141.0,167889.0,-52748.0,0
4,249,15.07,264,625,13.09,413,16.523,0.422,96472.0,38957.0,57515.0,1
5,194,11.33,131,832,7.15,1089,17.123,0.157,73395.0,195242.0,-121847.0,0
6,214,9.16,102,494,13.47,941,23.362,0.206,72048.0,59349.0,12699.0,1
7,294,9.5,72,870,14.22,561,30.947,0.083,45671.0,52342.0,-6671.0,0
8,205,14.93,332,700,12.05,493,13.731,0.474,129236.0,58771.0,70465.0,1
9,168,19.82,388,633,13.55,606,8.476,0.613,131836.0,60596.0,71240.0,1
10,252,15.63,244,684,8.65,1158,16.123,0.357,111477.0,157796.0,-46319.0,0
11,156,16.42,231,614,11.84,546,9.501,0.376,128312.0,54198.0,74114.0,1
12,293,16.75,361,575,6.63,1177,17.493,0.628,323234.0,184223.0,139011.0,1
13,132,16.22,188,970,13.43,514,8.138,0.194,35926.0,63696.0,-27770.0,0
14,181,12.81,167,432,5.66,1561,14.13,0.387,114153.0,197912.0,-83759.0,0
15,275,12.75,211,617,14.15,1339,21.569,0.342,268722.0,105791.0,162931.0,1
16,91,10.96,123,671,10.61,938,8.303,0.183,53550.0,91750.0,-38200.0,0
17,224,12.34,349,838,14.97,683,18.152,0.416,167500.0,77312.0,90188.0,1
18,66,17.07,310,905,13.61,713,3.866,0.343,223490.0,93100.0,130390.0,1
19,236,15.16,371,563,8.85,1358,15.567,0.659,355569.0,173457.0,182112.0,1
20,25,16.16,320,657,6.15,1499,1.547,0.487,147274.0,277509.0,-130235.0,0
21,77,11.52,186,748,6.58,406,6.684,0.249,28073.0,71141.0,-43068.0,0
22,111,14.09,184,912,6.06,1011,7.878,0.202,69268.0,238797.0,-169529.0,0
23,121,9.83,377,919,12.63,1504,12.309,0.41,400426.0,234985.0,165441.0,1
24,185,13.86,321,400,6.12,1143,13.348,0.802,246173.0,141541.0,104632.0,1
25,49,10.89,207,645,10.67,561,4.5,0.321,42638.0,58857.0,-16219.0,0
26,55,19.74,93,897,10.33,657,2.786,0.104,24701.0,91887.0,-67186.0,0
27,104,11.18,115,886,13.72,1266,9.302,0.13,72860.0,132334.0,-59474.0,0
28,122,16.56,158,952,8.99,1164,7.367,0.166,71334.0,201712.0,-130378.0,0
29,251,9.45,274,929,7.25,1092,26.561,0.295,154620.0,245088.0,-90468.0,0
30,137,15.06,60,967,5.07,520,9.097,0.062,18339.0,149595.0,-131256.0,0
31,36,18.32,167,469,5.71,887,1.965,0.356,49954.0,119423.0,-69469.0,0
32,129,14.47,192,897,12.23,1569,8.915,0.214,113757.0,218877.0,-105120.0,0
33,144,17.42,345,884,13.07,789,8.266,0.39,259452.0,107523.0,151929.0,1
34,240,12.25,98,499,9.11,510,19.592,0.196,30165.0,45416.0,-15251.0,0
35,51,12.83,394,500,8.39,623,3.975,0.788,143510.0,80260.0,63250.0,1
36,117,14.44,177,596,6.4,775,8.102,0.297,51515.0,112262.0,-60747.0,0
37,147,18.49,192,873,5.75,1527,7.95,0.22,111215.0,367982.0,-256767.0,0
38,296,18.03,100,451,14.69,884,16.417,0.222,80126.0,46594.0,33532.0,1
39,268,13.78,135,816,13.65,520,19.448,0.165,74109.0,46403.0,27706.0,1
40,21,19.82,134,788,7.65,1331,1.06,0.17,60753.0,210216.0,-149463.0,0
41,269,9.86,196,833,7.97,519,27.282,0.235,57067.0,85130.0,-28063.0,0
42,51,16.98,346,955,5.57,1596,3.004,0.362,172164.0,458193.0,-286029.0,0
43,291,9.89,294,914,14.61,564,29.424,0.322,157576.0,68057.0,89519.0,1
44,54,16.1,145,470,7.35,645,3.354,0.309,33433.0,68906.0,-35473.0,0
45,40,15.43,341,652,9.19,1595,2.592,0.523,480199.0,222001.0,258198.0,1
46,181,19.22,339,935,7.04,1043,9.417,0.363,120588.0,230335.0,-109747.0,0
47,222,9.57,172,671,11.46,1336,23.197,0.256,253806.0,143126.0,110680.0,1
48,24,13.5,211,474,14.98,604,1.778,0.445,66339.0,35280.0,31059.0,1
49,129,14.07,87,950,6.32,1114,9.168,0.092,47927.0,251896.0,-203969.0,0
50,209,11.42,85,650,9.38,1512,18.301,0.131,103013.0,161283.0,-58270.0,0
51,24,16.01,204,941,10.55,612,1.499,0.217,39812.0,94000.0,-54188.0,0
52,79,18.68,118,670,12.42,718,4.229,0.176,33439.0,66649.0,-33210.0,0
53,127,16.61,189,688,7.04,940,7.646,0.275,66155.0,147157.0,-81002.0,0
54,148,18.86,308,900,13.46,589,7.847,0.342,189116.0,74577.0,114539.0,1
