edge_id,from_node_id,to_node_id,length_m,speed_limit_mps,num_lanes,priority,road_type,free_flow_travel_time_s,from_junction_degree,to_junction_degree,baseline_sampled_seconds,baseline_traveltime_s,baseline_overlap_traveltime_s,baseline_density_vpm,baseline_lane_density_vpmpl,baseline_occupancy_perc,baseline_waiting_time_s,baseline_time_loss_s,baseline_speed_mps,baseline_speed_relative,baseline_departed_count,baseline_arrived_count,baseline_entered_count,baseline_left_count,is_braess_road
423754732#0,4233121339,4233121141,107.31,13.89,1,3,highway.residential,7.72570194384449,6,8,163.56,9.24,9.62,0.42,0.42,0.2,0,23.86,11.67,0.84,0,0,17,17,0
423754739#0,4233121338,4233121142,106.46,13.89,1,3,highway.residential,7.66450683945284,6,6,102.78,8.96,9.34,0.27,0.27,0.13,0,14.53,11.93,0.86,0,0,11,11,0
423754745,cluster_2178265471_4233121344,4233121139,108.33,13.89,1,3,highway.residential,7.79913606911447,8,6,166.15,10.16,11.08,0.43,0.43,0.2,1,32.46,10.23,0.74,0,0,15,15,1
423754735#0,4233121342,4233121140,107.59,13.89,1,3,highway.residential,7.74586033117351,6,8,8.2,7.9,8.2,0.02,0.02,0.01,0,1.65,13.72,0.99,0,0,1,1,0
423754763#0,4233121345,4233121146,107.61,13.89,1,3,highway.residential,7.74730021598272,6,8,304.38,9.74,10.15,0.79,0.79,0.37,0,53.97,11.1,0.8,0,0,30,30,0
444065242#2,4233121144,2178265478,108.3,13.89,1,3,highway.residential,7.79697624190065,8,6,5187.13,63.56,71.27,13.3,13.3,6.12,4117,4562.95,1.59,0.11,0,0,73,71,1
423754725#0,4233121349,4233121143,108.06,13.89,1,3,highway.residential,7.77969762419007,6,8,206.32,9.7,10.34,0.53,0.53,0.25,0,39.08,10.94,0.79,0,0,20,20,0
423754750#0,4233121351,4233121147,108.31,2.78,1,2,highway.living_street,38.9604316546763,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
423754767#0,4233121352,4233121149,107.91,13.89,1,3,highway.residential,7.76889848812095,8,8,291.34,9.02,9.4,0.75,0.75,0.35,0,42.49,12.01,0.86,0,0,31,31,1
423754646#0,4233121353,4233121148,108.05,2.78,1,2,highway.living_street,38.8669064748202,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
423607514,4231760004,4231759790,129.8,13.89,1,3,highway.residential,9.34485241180706,6,2,498.23,11.01,11.4,1.07,1.07,0.51,0,63.14,11.82,0.85,0,44,44,0,0
423754721#1,4233121377,11255040091,87.36,13.89,1,3,highway.residential,6.28941684665227,8,2,175.22,7.67,8.06,0.56,0.56,0.26,0,27.86,11.45,0.82,0,22,22,0,1
423754772#2,4233121394,9910877217,97.32,13.89,1,3,highway.residential,7.00647948164147,8,2,181.48,8.32,8.71,0.52,0.52,0.24,0,23.52,11.75,0.85,0,21,21,0,1
423754715,4233121410,4233121411,55.78,13.89,1,3,highway.residential,4.01583873290137,6,2,100.07,4.99,5.38,0.5,0.5,0.23,0,20.31,11.29,0.81,0,19,19,0,0
1170526498,4233121426,4233121422,25.26,13.89,1,3,highway.residential,1.81857451403888,2,6,59.85,2.47,3.27,0.66,0.66,0.28,0,11.62,9.25,0.67,22,0,0,22,0
423754739#1,4233121142,4233121118,6.61,13.89,1,3,highway.residential,0.475881929445644,6,2,12.83,0.58,0.98,0.54,0.54,0.16,0,1.94,11.88,0.85,0,14,14,0,0
423754732#1,4233121141,9910867362,78.69,13.89,1,3,highway.residential,5.66522678185745,8,6,149.9,7.06,7.89,0.53,0.53,0.24,0,24.83,10.6,0.76,0,1,19,18,1
423754735#1,4233121140,9910867361,78.47,13.89,1,3,highway.residential,5.64938804895608,8,6,6.98,6.27,6.98,0.02,0.02,0.01,0,1.72,11.96,0.86,0,0,1,1,0
444065242#1,9910867360,4233121144,77.53,13.89,1,3,highway.residential,5.58171346292297,8,8,109.72,6.33,6.86,0.39,0.39,0.18,0,11.38,12.03,0.87,0,0,16,16,1
423754725#1,4233121143,9910867359,77.54,13.89,1,3,highway.residential,5.58243340532757,8,6,143.31,6.37,6.82,0.51,0.51,0.24,0,16.2,12.1,0.87,0,0,21,21,0
423754750#1,4233121147,9911036281,47.53,2.78,1,2,highway.living_street,17.0971223021583,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
423754767#1,4233121149,6734971767,43.24,13.89,1,3,highway.residential,3.1130309575234,8,6,326.13,4.77,5.53,2.1,2.1,0.92,0,97.02,8.73,0.63,0,1,59,58,0
462681630#1,6734971768,4233121125,38.41,5.56,1,2,highway.living_street,6.90827338129496,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
423754792#6,cluster_4233121150_4233121151,6734971747,43.66,13.89,1,3,highway.residential,3.14326853851692,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1311512484,6734971769,12139950502,49.4,13.89,1,3,highway.residential,3.5565154787617,8,2,103.18,4.6,4.99,0.58,0.58,0.26,0,22.86,10.9,0.78,0,21,21,0,0
1311512485#0,4233121115,6734971760,35.56,13.89,1,3,highway.residential,2.56011519078474,2,8,95.62,4.14,4.97,0.75,0.75,0.34,4,29.92,8.16,0.59,22,0,0,22,0
1081102191#2,4233121153,6734971771,42.04,13.89,1,3,highway.residential,3.02663786897048,6,8,362.87,3.62,4.22,2.4,2.4,1.05,0,47.1,11.15,0.8,0,0,86,86,0
717096965#0,6734971771,6734971753,81.16,13.89,1,3,highway.residential,5.84305255579554,8,6,8.33,7.5,8.33,0.03,0.03,0.01,0,1.67,10.35,0.75,0,0,1,1,1
1081102191#4,6734971771,6734971781,50.1,13.89,1,3,highway.residential,3.60691144708423,8,8,302.67,4.28,4.67,1.68,1.68,0.76,0,43.71,11.81,0.85,1,2,64,63,0
1311512485#1,6734971760,6734971759,47.65,13.89,1,3,highway.residential,3.43052555795536,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
717096962,6734971756,6734971755,44.76,13.89,1,3,highway.residential,3.22246220302376,6,6,6.51,5.63,6.51,0.04,0.04,0.02,0,2.04,7.64,0.55,0,0,1,1,1
717096962,6734971756,6734971755,44.76,13.89,1,3,highway.residential,3.22246220302376,6,6,6.51,5.63,6.51,0.04,0.04,0.02,0,2.04,7.64,0.55,0,0,1,1,1
717096964,6734971765,6734971769,43.02,13.89,1,3,highway.residential,3.09719222462203,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
717096960,6734971748,6737654966,43.05,13.89,1,3,highway.residential,3.09935205183585,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
717096963,6734971762,6734971761,42.54,13.89,1,3,highway.residential,3.06263498920086,6,6,17.42,5.11,5.81,0.11,0.11,0.05,0,5.79,8.19,0.59,0,0,3,3,1
423754792#7,6734971747,6734971746,42.43,13.89,1,3,highway.residential,3.05471562275018,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
462681630#0,6734971772,6734971768,46.59,5.56,1,2,highway.living_street,8.3794964028777,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
717096967#2,cluster_6734971754_9909099942,6734971781,57.74,13.89,1,3,highway.residential,4.15694744420446,8,8,88.06,4.47,4.83,0.42,0.42,0.19,0,6.97,12.98,0.93,0,0,19,18,0
717096961#0,cluster_6734971754_9909099942,6734971753,27.67,13.89,1,3,highway.residential,1.99208063354932,8,6,113.97,2.45,2.85,1.14,1.14,0.48,0,16.59,11.47,0.83,0,0,40,40,0
423754725#1,4233121143,9910867359,77.54,13.89,1,3,highway.residential,5.58243340532757,8,6,143.31,6.37,6.82,0.51,0.51,0.24,0,16.2,12.1,0.87,0,0,21,21,0
444065242#1,9910867360,4233121144,77.53,13.89,1,3,highway.residential,5.58171346292297,8,8,109.72,6.33,6.86,0.39,0.39,0.18,0,11.38,12.03,0.87,0,0,16,16,1
423754735#1,4233121140,9910867361,78.47,13.89,1,3,highway.residential,5.64938804895608,8,6,6.98,6.27,6.98,0.02,0.02,0.01,0,1.72,11.96,0.86,0,0,1,1,0
423754732#1,4233121141,9910867362,78.69,13.89,1,3,highway.residential,5.66522678185745,8,6,149.9,7.06,7.89,0.53,0.53,0.24,0,24.83,10.6,0.76,0,1,19,18,1
423754751#0,cluster_10289098646_4233121419,4233121383,64.35,13.89,1,3,highway.residential,4.63282937365011,8,6,6513.91,127.09,127.94,28.12,28.12,14,5908,6251.52,0.54,0.04,0,0,51,51,1
423754751#1,4233121383,4233121346,31.73,13.89,1,3,highway.residential,2.28437724982001,6,6,5736.66,130.88,146.95,50.22,50.22,23.14,5283,5618.74,0.25,0.02,0,0,40,38,1
423754753,4233121418,4233121348,110.13,2.78,1,2,highway.living_street,39.6151079136691,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
423754688,4233121421,4233121350,110.67,13.89,1,3,highway.residential,7.96760259179266,6,6,283.26,37.03,40.47,0.71,0.71,0.34,183,216.41,2.86,0.21,0,0,7,7,1
1185438186,4233121424,4233121352,111.34,13.89,1,3,highway.residential,8.01583873290137,6,8,25.89,24.33,25.89,0.06,0.06,0.03,13,17.95,4.49,0.32,0,0,1,1,1
1210951172,4233121425,4233121353,111.65,13.89,1,3,highway.residential,8.0381569474442,6,8,10.34,9.57,10.34,0.03,0.03,0.01,0,1.8,11.29,0.81,0,0,1,1,1
423754792#0,4233121423,4233121354,111.21,13.89,1,3,highway.residential,8.00647948164147,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
423754755#0,4233121427,4233121355,111.71,13.89,1,3,highway.residential,8.04247660187185,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
423754730#0,4233121429,3735850676,111.9,13.89,1,3,highway.residential,8.0561555075594,6,8,11.81,11.56,12.34,0.03,0.03,0.01,0,4.33,9.47,0.68,1,0,0,1,0
423754637#0,4233121431,4233121356,111.66,13.89,1,3,highway.residential,8.03887688984881,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
423754789#0,4233121433,4233121357,111.19,13.89,1,3,highway.residential,8.00503959683225,6,8,9.46,8.78,9.46,0.02,0.02,0.01,0,1.52,12.28,0.88,0,0,1,1,0
423754774#0,4233121430,4233121358,109.81,13.89,1,3,highway.residential,7.9056875449964,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1185435870#1,4233121400,4233038853,60.43,13.89,1,3,highway.residential,4.35061195104392,6,8,840.91,5.37,5.97,3.87,3.87,1.77,43,145.25,10.96,0.79,1,0,140,140,1
369837724#2,4233038853,4233121358,4.38,11.11,1,3,highway.residential,0.394239423942394,8,8,92.87,0.74,1.43,5.89,5.89,1.36,1,33.7,6.56,0.59,0,0,65,65,0
369837724#4,4233121357,4233121356,8.56,11.11,1,3,highway.residential,0.770477047704771,8,8,482.6,7.78,8.52,15.66,15.66,7.15,363,406.94,1.59,0.14,0,0,57,56,1
369837724#5,4233121356,3735850676,8.67,11.11,1,3,highway.residential,0.780378037803781,8,8,653.34,21.81,22.82,20.93,20.93,10.12,590,617.52,0.6,0.05,0,0,29,28,1
369837724#6,3735850676,4233121355,8.46,11.11,1,3,highway.residential,0.761476147614762,8,8,1278.66,44.94,47.6,41.98,41.98,20.64,1211,1246.01,0.28,0.03,0,0,28,27,0
369837724#7,4233121355,4233121354,11.07,11.11,1,3,highway.residential,0.996399639963996,8,8,1903.05,72.01,75.79,47.75,47.75,23.63,1810,1866.47,0.21,0.02,0,0,27,26,1
369837724#8,4233121354,4233121353,3.2,11.11,1,3,highway.residential,0.288028802880288,8,8,406,10.6,11.15,35.24,35.24,10.25,317,378.8,0.74,0.07,1,0,38,39,1
1210951173,4233121353,4233121352,8.38,11.11,1,3,highway.residential,0.754275427542754,8,8,3179.21,78.54,82.11,105.38,105.38,39.29,2989,3132.09,0.16,0.01,1,0,40,40,1
1185438185#0,4233121352,4233121351,6.58,11.11,1,3,highway.residential,0.592259225922592,8,6,976.28,19.36,20.21,41.21,41.21,19.49,780,924.98,0.57,0.05,1,0,51,52,1
1185438185#4,4233121348,2178265478,1.6,11.11,1,3,highway.residential,0.144014401440144,6,6,1342.82,8.01,17.32,133.33,133.33,34.34,1131,1299.57,0.38,0.03,2,0,77,79,1
1081309636#4,4233121342,cluster_2178265471_4233121344,4.42,13.89,1,3,highway.residential,0.318214542836573,6,8,473.1,1.84,2.62,29.73,29.73,9.32,180,348.74,3.59,0.26,0,0,181,181,1
369837727#0,cluster_2178265471_4233121344,4233121339,3.89,13.89,1,3,highway.residential,0.280057595392369,8,6,447.87,0.51,1.08,31.98,31.98,7,7,177.61,8.2,0.59,0,0,413,413,1
369837727#2,4233121338,4231760004,33.16,13.89,1,3,highway.residential,2.38732901367891,6,6,2160.94,3.79,4.6,18.1,18.1,7.69,528,850.07,8.3,0.6,0,0,470,470,0
1125146033,2178265474,cluster_10289098646_4233121419,12.63,13.89,1,3,highway.residential,0.909287257019438,8,8,1432.92,4.42,5.27,31.51,31.51,12.98,718,963.52,3.35,0.24,0,0,274,273,1
423737614,4233038861,2178265474,257.75,13.89,1,3,highway.residential,18.5565154787617,6,8,3678.56,52.64,54.11,3.96,3.96,1.94,1977,2365.93,4.86,0.35,0,0,68,68,0
207565747#0,2178265474,4233038864,14.57,13.89,1,3,highway.residential,1.04895608351332,8,8,259.85,1.54,2.22,4.95,4.95,1.8,9,65.48,8.81,0.63,0,0,117,117,1
